Hours,Filename,x,y,d,d_err,R_sun,B_0
0.0,20240503_0900_hmiigr_512.jpg,164,213,100.22474744293447,0.7071067811865476,235.3607940673828,-15.921759892997365
1.5,20240503_1030_hmiigr_512.jpg,167,212,97.94386147176351,0.7071067811865476,235.34539794921875,-15.893838549964519
3.0,20240503_1200_hmiigr_512.jpg,171,213,93.91485505499116,0.7071067811865476,235.3759307861328,-15.869000645269985
4.5,20240503_1330_hmiigr_512.jpg,174,212,91.706052144883,0.7071067811865476,235.3852081298828,-15.842708545606378
6.0,20240503_1500_hmiigr_512.jpg,178,212,88.19297024139736,0.7071067811865476,235.4117431640625,-15.817557281465472
7.5,20240503_1630_hmiigr_512.jpg,181,212,85.58621384311844,0.7071067811865476,235.4117431640625,-15.790603458903357
9.0,20240503_1800_hmiigr_512.jpg,185,212,82.15229759416349,0.7071067811865476,235.42926025390625,-15.764810109004857
10.5,20240503_1930_hmiigr_512.jpg,189,212,78.77182237323191,0.7071067811865476,235.4332733154297,-15.738089329051526
12.0,20240503_2100_hmiigr_512.jpg,192,211,76.84399781375251,0.7071067811865476,235.42926025390625,-15.71081951675725
13.5,20240503_2230_hmiigr_512.jpg,196,211,73.60027173862879,0.7071067811865476,235.4046173095703,-15.682159698797296
18.0,20240504_0300_hmiigr_512.jpg,206,211,65.85590330410783,0.7071067811865476,235.36502075195312,-15.598385790699487
19.5,20240504_0430_hmiigr_512.jpg,210,211,62.93647591023825,0.7071067811865476,235.31214904785156,-15.567814800470439
25.5,20240504_1030_hmiigr_512.jpg,223,211,54.405882034941776,0.7071067811865476,235.27764892578125,-15.457105990842075
28.5,20240504_1330_hmiigr_512.jpg,230,210,51.478150704935004,0.7071067811865476,235.34230041503906,-15.407029841128965
30.0,20240504_1500_hmiigr_512.jpg,233,210,50.08991914547278,0.7071067811865476,235.3519744873047,-15.380479459220988
31.5,20240504_1630_hmiigr_512.jpg,237,210,48.46648326421054,0.7071067811865476,235.3601837158203,-15.3538105814147
33.0,20240504_1800_hmiigr_512.jpg,240,210,47.43416490252569,0.7071067811865476,235.3948974609375,-15.328853269150866
34.5,20240504_1930_hmiigr_512.jpg,244,210,46.32493928760188,0.7071067811865476,235.3909454345703,-15.30135789021385
36.0,20240504_2100_hmiigr_512.jpg,247,210,45.70557952810576,0.7071067811865476,235.3909454345703,-15.274103261678073
37.5,20240504_2230_hmiigr_512.jpg,250,210,45.27692569068709,0.7071067811865476,235.3909454345703,-15.246836128350198
42.0,20240505_0300_hmiigr_512.jpg,261,210,45.39823785126467,0.7071067811865476,235.27410888671875,-15.15740796985817
43.5,20240505_0430_hmiigr_512.jpg,264,210,45.89117562233506,0.7071067811865476,235.27268981933594,-15.130000825654967
45.0,20240505_0600_hmiigr_512.jpg,268,209,47.80167361086848,0.7071067811865476,235.23777770996094,-15.100427423396642
49.5,20240505_1030_hmiigr_512.jpg,278,210,50.53711507397311,0.7071067811865476,235.26480102539062,-15.020072430506184
51.0,20240505_1200_hmiigr_512.jpg,281,210,51.97114584074513,0.7071067811865476,235.26629638671875,-14.992774039866676
52.5,20240505_1330_hmiigr_512.jpg,285,210,54.08326913195984,0.7071067811865476,235.26641845703125,-14.965371349891454
55.5,20240505_1630_hmiigr_512.jpg,291,210,57.62811813689564,0.7071067811865476,235.27536010742188,-14.911075516992321
58.5,20240505_1930_hmiigr_512.jpg,298,210,62.24146527838174,0.7071067811865476,235.32296752929688,-14.859154723837785
60.0,20240505_2100_hmiigr_512.jpg,301,210,64.35060217278468,0.7071067811865476,235.3206024169922,-14.831513801404835
63.0,20240506_0000_hmiigr_512.jpg,308,211,68.8839603971781,0.7071067811865476,235.26641845703125,-14.773086666828508
64.5,20240506_0130_hmiigr_512.jpg,311,211,71.21797525905943,0.7071067811865476,235.26629638671875,-14.745548077636737
66.0,20240506_0300_hmiigr_512.jpg,314,211,73.60027173862879,0.7071067811865476,235.19541931152344,-14.713570663453305
69.0,20240506_0600_hmiigr_512.jpg,321,211,79.32212806020776,0.7071067811865476,235.19374084472656,-14.658346036666728
72.0,20240506_0900_hmiigr_512.jpg,327,212,83.86298349093002,0.7071067811865476,235.18357849121094,-14.602537266862209
73.5,20240506_1030_hmiigr_512.jpg,330,212,86.45229898620394,0.7071067811865476,235.18978881835938,-14.57531364699226
76.5,20240506_1330_hmiigr_512.jpg,336,212,91.706052144883,0.7071067811865476,235.1939239501953,-14.520304830882955
78.0,20240506_1500_hmiigr_512.jpg,339,212,94.36630754670864,0.7071067811865476,235.22059631347656,-14.494293005396663
81.0,20240506_1800_hmiigr_512.jpg,346,213,100.22474744293447,0.7071067811865476,235.27268981933594,-14.442132142121482
84.0,20240506_2100_hmiigr_512.jpg,352,213,105.70241246064349,0.7071067811865476,235.2520751953125,-14.385438430641836
87.0,20240507_0000_hmiigr_512.jpg,358,213,111.23398761170077,0.7071067811865476,235.19407653808594,-14.326423177556618
88.5,20240507_0130_hmiigr_512.jpg,361,214,113.65298060323803,0.7071067811865476,235.16946411132812,-14.297171728275247
90.0,20240507_0300_hmiigr_512.jpg,365,212,118.10588469674151,0.7071067811865476,235.16201782226562,-14.268951093795383
91.5,20240507_0430_hmiigr_512.jpg,367,214,119.26860441876563,0.7071067811865476,235.12533569335938,-14.238945139422224
94.5,20240507_0730_hmiigr_512.jpg,372,214,123.97580409095961,0.7071067811865476,235.1230010986328,-14.183206468808086
96.0,20240507_0900_hmiigr_512.jpg,375,214,126.81088281373961,0.7071067811865476,235.1195068359375,-14.155178722874432
97.5,20240507_1030_hmiigr_512.jpg,378,214,129.65338406690356,0.7071067811865476,235.11936950683594,-14.127332828232019
100.5,20240507_1330_hmiigr_512.jpg,384,215,135.05924625881784,0.7071067811865476,235.12889099121094,-14.072194058536644
105.0,20240507_1800_hmiigr_512.jpg,392,215,142.72000560538106,0.7071067811865476,235.19374084472656,-13.992373764178497
106.5,20240507_1930_hmiigr_512.jpg,395,215,145.60219778561037,0.7071067811865476,235.1939239501953,-13.964459159662118
109.5,20240507_2230_hmiigr_512.jpg,400,215,150.41608956491322,0.7071067811865476,235.17086791992188,-13.907199041783267
111.0,20240508_0000_hmiigr_512.jpg,402,215,152.34500319997372,0.7071067811865476,235.16201782226562,-13.878708306760496
112.5,20240508_0130_hmiigr_512.jpg,405,216,154.98709623707387,0.7071067811865476,235.12533569335938,-13.848567919162889
114.0,20240508_0300_hmiigr_512.jpg,408,216,157.8923684032892,0.7071067811865476,235.1194305419922,-13.820232835215014
118.5,20240508_0730_hmiigr_512.jpg,415,216,164.68454693747074,0.7071067811865476,235.06520080566406,-13.73301557587923
120.0,20240508_0900_hmiigr_512.jpg,417,216,166.6283289239858,0.7071067811865476,235.0654754638672,-13.70499264241698
