Hours,Filename,x,y,d,d_err,R_sun,B_0
0.0,20240422_0900_hmiigr_512.jpg,168,178,116.18089343777659,0.7071067811865476,236.04852294921875,-20.426807086258332
1.5,20240422_1030_hmiigr_512.jpg,171,178,113.95174417269794,0.7071067811865476,236.04884338378906,-20.403275602140567
3.0,20240422_1200_hmiigr_512.jpg,174,178,111.75866856758807,0.7071067811865476,236.04852294921875,-20.37967210089192
4.5,20240422_1330_hmiigr_512.jpg,178,178,108.89444430272832,0.7071067811865476,236.06129455566406,-20.357168743150403
6.0,20240422_1500_hmiigr_512.jpg,181,178,106.7941945987702,0.7071067811865476,236.08486938476562,-20.335576760354318
7.5,20240422_1630_hmiigr_512.jpg,185,178,104.06248123122954,0.7071067811865476,236.1018829345703,-20.31339071075924
9.0,20240422_1800_hmiigr_512.jpg,188,178,102.06860437960343,0.7071067811865476,236.10040283203125,-20.289591242319354
10.5,20240422_1930_hmiigr_512.jpg,192,178,99.48869282486326,0.7071067811865476,236.10719299316406,-20.26648122351929
12.0,20240422_2100_hmiigr_512.jpg,195,178,97.6165969494942,0.7071067811865476,236.08523559570312,-20.2408803159031
13.5,20240422_2230_hmiigr_512.jpg,199,178,95.2102935611481,0.7071067811865476,236.08473205566406,-20.21710028895328
15.0,20240423_0000_hmiigr_512.jpg,202,178,93.47726996441435,0.7071067811865476,236.048583984375,-20.190250800549038
16.5,20240423_0130_hmiigr_512.jpg,206,178,91.26883367283708,0.7071067811865476,236.04342651367188,-20.166031394167746
18.0,20240423_0300_hmiigr_512.jpg,210,178,89.1852005660132,0.7071067811865476,236.01702880859375,-20.13997981024062
19.5,20240423_0430_hmiigr_512.jpg,213,178,87.70974860299168,0.7071067811865476,235.9894561767578,-20.11381268289273
21.0,20240423_0600_hmiigr_512.jpg,217,178,85.86617494683223,0.7071067811865476,235.9894561767578,-20.08997767824433
22.5,20240423_0730_hmiigr_512.jpg,220,178,84.581321815162,0.7071067811865476,235.9998016357422,-20.06699751540137
24.0,20240423_0900_hmiigr_512.jpg,224,178,83.00602387778854,0.7071067811865476,235.9998016357422,-20.0431200120799
25.5,20240423_1030_hmiigr_512.jpg,227,178,81.93289937503738,0.7071067811865476,235.98268127441406,-20.01776130007425
27.0,20240423_1200_hmiigr_512.jpg,231,178,80.65358020571685,0.7071067811865476,235.9998016357422,-19.99529051075486
28.5,20240423_1330_hmiigr_512.jpg,235,178,79.55501241279521,0.7071067811865476,236.0178680419922,-19.97287557954374
30.0,20240423_1500_hmiigr_512.jpg,238,178,78.85429601486528,0.7071067811865476,236.0178680419922,-19.94890512182818
31.5,20240423_1630_hmiigr_512.jpg,241,178,78.26237921249263,0.7071067811865476,236.04684448242188,-19.927360160096185
33.0,20240423_1800_hmiigr_512.jpg,245,178,77.64663547121665,0.7071067811865476,236.04684448242188,-19.903345293759664
34.5,20240423_1930_hmiigr_512.jpg,249,178,77.23341245859851,0.7071067811865476,236.03335571289062,-19.878173701719138
36.0,20240423_2100_hmiigr_512.jpg,252,178,77.05841939723393,0.7071067811865476,236.03152465820312,-19.85396061779153
37.5,20240423_2230_hmiigr_512.jpg,256,178,77.00649323271382,0.7071067811865476,236.0178680419922,-19.828737770321304
39.0,20240424_0000_hmiigr_512.jpg,260,178,77.1621668954417,0.7071067811865476,236.01695251464844,-19.804561999188472
40.5,20240424_0130_hmiigr_512.jpg,263,178,77.41446893184762,0.7071067811865476,235.98123168945312,-19.77744867164672
42.0,20240424_0300_hmiigr_512.jpg,267,178,77.92945527847606,0.7071067811865476,235.9534149169922,-19.750983544768687
43.5,20240424_0430_hmiigr_512.jpg,270,178,78.44743462982075,0.7071067811865476,235.95323181152344,-19.726813689973916
45.0,20240424_0600_hmiigr_512.jpg,274,178,79.30952023559341,0.7071067811865476,235.94354248046875,-19.7018293538693
46.5,20240424_0730_hmiigr_512.jpg,277,178,80.0812087820857,0.7071067811865476,235.92166137695312,-19.675805383470323
48.0,20240424_0900_hmiigr_512.jpg,281,178,81.27115109311545,0.7071067811865476,235.92166137695312,-19.651591913998555
49.5,20240424_1030_hmiigr_512.jpg,284,178,82.28000972289685,0.7071067811865476,235.92149353027344,-19.627339652165045
51.0,20240424_1200_hmiigr_512.jpg,288,178,83.773504164503,0.7071067811865476,235.92152404785156,-19.603083181770796
52.5,20240424_1330_hmiigr_512.jpg,291,179,84.09518416651456,0.7071067811865476,235.94068908691406,-19.580393927040625
54.0,20240424_1500_hmiigr_512.jpg,295,178,86.76981041814025,0.7071067811865476,235.95574951171875,-19.557343888738657
55.5,20240424_1630_hmiigr_512.jpg,298,179,87.32124598286491,0.7071067811865476,235.9769287109375,-19.534772441344668
57.0,20240424_1800_hmiigr_512.jpg,301,180,87.98295289429652,0.7071067811865476,235.9769287109375,-19.510424811009223
58.5,20240424_1930_hmiigr_512.jpg,305,179,90.97252332435328,0.7071067811865476,236.0043487548828,-19.488316584534253
60.0,20240424_2100_hmiigr_512.jpg,308,180,91.83681179135085,0.7071067811865476,235.9998016357422,-19.463549643218812
61.5,20240424_2230_hmiigr_512.jpg,311,180,93.60021367496978,0.7071067811865476,235.94839477539062,-19.434903104126054
63.0,20240425_0000_hmiigr_512.jpg,315,180,96.04686356149273,0.7071067811865476,235.92808532714844,-19.408804727232027
66.0,20240425_0300_hmiigr_512.jpg,321,181,99.15644204992432,0.7071067811865476,235.91567993164062,-19.358869466662185
67.5,20240425_0430_hmiigr_512.jpg,325,179,103.32473082471591,0.7071067811865476,235.8577117919922,-19.329632308504817
69.0,20240425_0600_hmiigr_512.jpg,328,179,105.38026380684383,0.7071067811865476,235.85211181640625,-19.304672839401004
70.5,20240425_0730_hmiigr_512.jpg,331,180,106.77546534667971,0.7071067811865476,235.864013671875,-19.281120427000907
72.0,20240425_0900_hmiigr_512.jpg,334,181,108.2450922675019,0.7071067811865476,235.8255157470703,-19.253434142534463
73.5,20240425_1030_hmiigr_512.jpg,337,181,110.45361017187261,0.7071067811865476,235.89573669433594,-19.234599933223983
75.0,20240425_1200_hmiigr_512.jpg,341,180,114.10959644131601,0.7071067811865476,235.89630126953125,-19.210057943866385
76.5,20240425_1330_hmiigr_512.jpg,344,180,116.3872845288522,0.7071067811865476,235.89630126953125,-19.1854491921174
78.0,20240425_1500_hmiigr_512.jpg,347,181,118.06777714516353,0.7071067811865476,235.89913940429688,-19.161046137972164
79.5,20240425_1630_hmiigr_512.jpg,350,181,120.42009799032718,0.7071067811865476,235.92127990722656,-19.13819169512654
81.0,20240425_1800_hmiigr_512.jpg,353,181,122.80065146407001,0.7071067811865476,235.91448974609375,-19.112968031085778
82.5,20240425_1930_hmiigr_512.jpg,357,181,126.01587201618692,0.7071067811865476,235.91448974609375,-19.088274461967906
84.0,20240425_2100_hmiigr_512.jpg,360,181,128.4562182223967,0.7071067811865476,235.91448974609375,-19.063560162238687
85.5,20240425_2230_hmiigr_512.jpg,363,181,130.91982279242512,0.7071067811865476,235.8963165283203,-19.0373626162055
87.0,20240426_0000_hmiigr_512.jpg,366,181,133.4053971921676,0.7071067811865476,235.87010192871094,-19.010495935311564
88.5,20240426_0130_hmiigr_512.jpg,369,181,135.91173606425605,0.7071067811865476,235.8492431640625,-18.98404513434088
90.0,20240426_0300_hmiigr_512.jpg,372,181,138.43771162512041,0.7071067811865476,235.83311462402344,-18.957962342776504
91.5,20240426_0430_hmiigr_512.jpg,375,181,140.98226838861686,0.7071067811865476,235.840576171875,-18.933751974826
94.5,20240426_0730_hmiigr_512.jpg,381,182,145.6193668438371,0.7071067811865476,235.790283203125,-18.88005061518032
96.0,20240426_0900_hmiigr_512.jpg,384,182,148.22280526288793,0.7071067811865476,235.81088256835938,-18.856834910249177
97.5,20240426_1030_hmiigr_512.jpg,386,182,149.96666296213968,0.7071067811865476,235.7941131591797,-18.83060985072906
99.0,20240426_1200_hmiigr_512.jpg,389,182,152.59423318068085,0.7071067811865476,235.8109588623047,-18.807048575218143
100.5,20240426_1330_hmiigr_512.jpg,392,183,154.76756766196203,0.7071067811865476,235.84068298339844,-18.784492872553734
