Hours,Filename,x,y,d,d_err,R_sun,B_0
0.0,20240211_0600_hmiigr_512.jpg,39,307,222.17110523198104,0.7071067811865476,240.4495849609375,-27.770079918623743
3.0,20240211_0900_hmiigr_512.jpg,41,306,219.9931817125249,0.7071067811865476,240.4534149169922,-27.79881448504067
4.5,20240211_1030_hmiigr_512.jpg,42,305,218.78985351245154,0.7071067811865476,240.48452758789062,-27.81650710895105
7.5,20240211_1330_hmiigr_512.jpg,45,305,215.87033144922904,0.7071067811865476,240.50802612304688,-27.847318926593378
9.0,20240211_1500_hmiigr_512.jpg,47,305,213.92522057952868,0.7071067811865476,240.5216064453125,-27.8628846608001
10.5,20240211_1630_hmiigr_512.jpg,48,304,212.72047386182646,0.7071067811865476,240.52777099609375,-27.87755902093249
12.0,20240211_1800_hmiigr_512.jpg,49,304,211.74749113035554,0.7071067811865476,240.57017517089844,-27.89640297269625
15.0,20240211_2100_hmiigr_512.jpg,53,303,207.62466134830902,0.7071067811865476,240.52777099609375,-27.919234847449566
19.5,20240212_0130_hmiigr_512.jpg,58,302,202.52901026766511,0.7071067811865476,240.4911346435547,-27.956334079133345
21.0,20240212_0300_hmiigr_512.jpg,60,302,200.58414693090776,0.7071067811865476,240.45468139648438,-27.965810078393062
22.5,20240212_0430_hmiigr_512.jpg,62,302,198.64037857394453,0.7071067811865476,240.43190002441406,-27.976839356588368
24.0,20240212_0600_hmiigr_512.jpg,63,302,197.6689151080665,0.7071067811865476,240.43190002441406,-27.990480594576084
25.5,20240212_0730_hmiigr_512.jpg,65,301,195.48913013259843,0.7071067811865476,240.42190551757812,-28.00292429793264
27.0,20240212_0900_hmiigr_512.jpg,67,301,193.54586019855861,0.7071067811865476,240.42349243164062,-28.01668302929955
28.5,20240212_1030_hmiigr_512.jpg,69,300,191.36614120580475,0.7071067811865476,240.43190002441406,-28.031199542476784
30.0,20240212_1200_hmiigr_512.jpg,71,300,189.42280749687984,0.7071067811865476,240.42465209960938,-28.04385746281472
33.0,20240212_1500_hmiigr_512.jpg,75,300,185.53975315279473,0.7071067811865476,240.50076293945312,-28.079645186726548
36.0,20240212_1800_hmiigr_512.jpg,79,299,181.41664752717708,0.7071067811865476,240.51882934570312,-28.108528539486723
37.5,20240212_1930_hmiigr_512.jpg,81,299,179.47701802737865,0.7071067811865476,240.50924682617188,-28.120740810840466
39.0,20240212_2100_hmiigr_512.jpg,84,298,176.32356620712955,0.7071067811865476,240.50802612304688,-28.133896722495145
40.5,20240212_2230_hmiigr_512.jpg,86,298,174.38463235044537,0.7071067811865476,240.4911346435547,-28.145185077591773
43.5,20240213_0130_hmiigr_512.jpg,91,297,169.29264603047588,0.7071067811865476,240.43589782714844,-28.165134425535328
45.0,20240213_0300_hmiigr_512.jpg,93,297,167.35590817177624,0.7071067811865476,240.42190551757812,-28.17665134878013
46.5,20240213_0430_hmiigr_512.jpg,95,297,165.42067585401773,0.7071067811865476,240.372802734375,-28.184012405404772
48.0,20240213_0600_hmiigr_512.jpg,97,297,163.48700254148645,0.7071067811865476,240.3392333984375,-28.19315685618806
