Hours,Filename,x,y,d,d_err,R_sun,B_0
0.0,20240703_0600_hmiigr_512.jpg,137,199,130.61393493804556,0.7071067811865476,233.36529541015625,12.808080088725099
1.5,20240703_0730_hmiigr_512.jpg,140,199,127.91012469699183,0.7071067811865476,233.38430786132812,12.83627601275195
3.0,20240703_0900_hmiigr_512.jpg,142,199,126.11502686040232,0.7071067811865476,233.38430786132812,12.863416076914534
4.5,20240703_1030_hmiigr_512.jpg,145,199,123.43419299367578,0.7071067811865476,233.36529541015625,12.88948958147882
6.0,20240703_1200_hmiigr_512.jpg,148,199,120.7683733433551,0.7071067811865476,233.3785400390625,12.917331698789308
7.5,20240703_1330_hmiigr_512.jpg,151,199,118.1185844818672,0.7071067811865476,233.42364501953125,12.946931663405431
9.0,20240703_1500_hmiigr_512.jpg,154,200,115.00434774390054,0.7071067811865476,233.4492645263672,12.97544262303985
10.5,20240703_1630_hmiigr_512.jpg,157,200,112.37882362794157,0.7071067811865476,233.46412658691406,13.003347985603979
12.0,20240703_1800_hmiigr_512.jpg,159,199,111.13955191559843,0.7071067811865476,233.46412658691406,13.030410844726935
13.5,20240703_1930_hmiigr_512.jpg,162,200,108.04628637764465,0.7071067811865476,233.4811553955078,13.058413730798033
15.0,20240703_2100_hmiigr_512.jpg,165,200,105.47511554864494,0.7071067811865476,233.4811553955078,13.08545380063265
16.5,20240703_2230_hmiigr_512.jpg,168,200,102.9271587094485,0.7071067811865476,233.46412658691406,13.111525137651117
18.0,20240704_0000_hmiigr_512.jpg,171,200,100.40418317978589,0.7071067811865476,233.46412658691406,13.138530336871808
19.5,20240704_0130_hmiigr_512.jpg,174,200,97.9081201943945,0.7071067811865476,233.44773864746094,13.16460307331613
21.0,20240704_0300_hmiigr_512.jpg,177,200,95.44108130150245,0.7071067811865476,233.3869171142578,13.18814473488042
22.5,20240704_0430_hmiigr_512.jpg,180,200,93.00537618869137,0.7071067811865476,233.3973388671875,13.215693984429093
24.0,20240704_0600_hmiigr_512.jpg,183,200,90.60353193998566,0.7071067811865476,233.36903381347656,13.241031891337432
25.5,20240704_0730_hmiigr_512.jpg,186,201,87.6184911990614,0.7071067811865476,233.3841552734375,13.268819858580622
27.0,20240704_0900_hmiigr_512.jpg,189,201,85.27602242131137,0.7071067811865476,233.36529541015625,13.294663044363132
28.5,20240704_1030_hmiigr_512.jpg,192,201,82.97590011563598,0.7071067811865476,233.3869171142578,13.322796311846218
30.0,20240704_1200_hmiigr_512.jpg,195,201,80.72174428244226,0.7071067811865476,233.3973388671875,13.350277483101413
31.5,20240704_1330_hmiigr_512.jpg,198,201,78.5175139698144,0.7071067811865476,233.44729614257812,13.380014652140103
33.0,20240704_1500_hmiigr_512.jpg,201,201,76.36753236814714,0.7071067811865476,233.4492645263672,13.406994939035274
34.5,20240704_1630_hmiigr_512.jpg,204,201,74.27651041883968,0.7071067811865476,233.46412658691406,13.434701196948392
36.0,20240704_1800_hmiigr_512.jpg,207,201,72.24956747275377,0.7071067811865476,233.46412658691406,13.461541544353839
37.5,20240704_1930_hmiigr_512.jpg,211,202,68.8839603971781,0.7071067811865476,233.47500610351562,13.488994004530074
39.0,20240704_2100_hmiigr_512.jpg,214,202,67.00746227100382,0.7071067811865476,233.4811553955078,13.516162749793171
40.5,20240704_2230_hmiigr_512.jpg,217,202,65.21502894272147,0.7071067811865476,233.46412658691406,13.541972021200925
42.0,20240705_0000_hmiigr_512.jpg,220,202,63.51377803280167,0.7071067811865476,233.46412658691406,13.568754703391633
43.5,20240705_0130_hmiigr_512.jpg,223,202,61.91122676865643,0.7071067811865476,233.44773864746094,13.594566601967966
45.0,20240705_0300_hmiigr_512.jpg,227,202,59.941638282582836,0.7071067811865476,233.3785400390625,13.61728094017552
46.5,20240705_0430_hmiigr_512.jpg,230,202,58.60034129593445,0.7071067811865476,233.3973388671875,13.64510757288913
48.0,20240705_0600_hmiigr_512.jpg,233,202,57.38466694161429,0.7071067811865476,233.36756896972656,13.670081098286232
49.5,20240705_0730_hmiigr_512.jpg,236,202,56.302753041036986,0.7071067811865476,233.38430786132812,13.697761054096278
51.0,20240705_0900_hmiigr_512.jpg,239,202,55.362442142665635,0.7071067811865476,233.38430786132812,13.724444043042835
52.5,20240705_1030_hmiigr_512.jpg,243,203,53.36665625650534,0.7071067811865476,233.38665771484375,13.751257174003118
54.0,20240705_1200_hmiigr_512.jpg,246,203,52.773099207835045,0.7071067811865476,233.39837646484375,13.77860342034588
55.5,20240705_1330_hmiigr_512.jpg,249,202,53.33854141237835,0.7071067811865476,233.4492645263672,13.808256783080568
57.0,20240705_1500_hmiigr_512.jpg,252,202,53.08483775994799,0.7071067811865476,233.4492645263672,13.834889534550975
58.5,20240705_1630_hmiigr_512.jpg,255,202,53.0,0.7071067811865476,233.46412658691406,13.86239236763595
60.0,20240705_1800_hmiigr_512.jpg,259,203,52.15361924162119,0.7071067811865476,233.4647979736328,13.889041989373272
61.5,20240705_1930_hmiigr_512.jpg,262,202,53.46026561849464,0.7071067811865476,233.4647979736328,13.915631227707372
