Hours,Filename,x,y,d,d_err,R_sun,B_0
0.0,20240220_2100_hmiigr_512.jpg,81,158,199.21094347449892,0.7071067811865476,240.0810089111328,-29.489660880423422
1.5,20240220_2230_hmiigr_512.jpg,83,158,197.46645284705957,0.7071067811865476,240.06488037109375,-29.49633296030466
3.0,20240221_0000_hmiigr_512.jpg,86,157,195.35864454894235,0.7071067811865476,240.05532836914062,-29.503770542914005
7.5,20240221_0430_hmiigr_512.jpg,92,158,189.67867565965344,0.7071067811865476,239.98626708984375,-29.5208966342677
9.0,20240221_0600_hmiigr_512.jpg,93,158,188.8200201249857,0.7071067811865476,239.9510955810547,-29.52503617927635
10.5,20240221_0730_hmiigr_512.jpg,97,156,186.45374761586316,0.7071067811865476,239.96881103515625,-29.535641039314246
12.0,20240221_0900_hmiigr_512.jpg,98,156,185.60711193270586,0.7071067811865476,239.96881103515625,-29.544032794548617
15.0,20240221_1200_hmiigr_512.jpg,103,155,181.94504664870655,0.7071067811865476,239.9936065673828,-29.56375842631389
16.5,20240221_1330_hmiigr_512.jpg,105,156,179.7247896090019,0.7071067811865476,240.02459716796875,-29.575857371801927
18.0,20240221_1500_hmiigr_512.jpg,107,155,178.61690849412886,0.7071067811865476,240.03961181640625,-29.58595604993001
19.5,20240221_1630_hmiigr_512.jpg,112,154,175.07141400011596,0.7071067811865476,240.03927612304688,-29.59412162356518
22.5,20240221_1930_hmiigr_512.jpg,116,154,171.81967291320282,0.7071067811865476,240.0501708984375,-29.611775422470195
24.0,20240221_2100_hmiigr_512.jpg,118,153,170.8010538609174,0.7071067811865476,240.0393829345703,-29.618543409819726
27.0,20240222_0000_hmiigr_512.jpg,123,153,166.81726529349413,0.7071067811865476,240.00296020507812,-29.630136067332327
28.5,20240222_0130_hmiigr_512.jpg,125,154,164.62381358722072,0.7071067811865476,239.97470092773438,-29.63463150066348
31.5,20240222_0430_hmiigr_512.jpg,134,152,158.90248582070703,0.7071067811865476,239.91439819335938,-29.643045183194907
33.0,20240222_0600_hmiigr_512.jpg,134,153,158.25612152457168,0.7071067811865476,239.91439819335938,-29.65091929190764
36.0,20240222_0900_hmiigr_512.jpg,139,154,153.8083222715858,0.7071067811865476,239.9376220703125,-29.669426965432187
37.5,20240222_1030_hmiigr_512.jpg,142,154,151.5585695366646,0.7071067811865476,239.92503356933594,-29.675636659869475
39.0,20240222_1200_hmiigr_512.jpg,147,152,149.24141516348604,0.7071067811865476,239.9483184814453,-29.68624634672948
40.5,20240222_1330_hmiigr_512.jpg,147,153,148.55302083767936,0.7071067811865476,239.9510955810547,-29.694278071489443
45.0,20240222_1800_hmiigr_512.jpg,156,152,142.86357128393507,0.7071067811865476,240.00852966308594,-29.724243393299695
48.0,20240222_2100_hmiigr_512.jpg,162,151,139.51702405083043,0.7071067811865476,239.9936065673828,-29.73744975411385
49.5,20240222_2230_hmiigr_512.jpg,165,151,137.53544997563355,0.7071067811865476,239.97488403320312,-29.742598308472488
52.5,20240223_0130_hmiigr_512.jpg,172,151,133.06013678032951,0.7071067811865476,239.92031860351562,-29.750664985190138
55.5,20240223_0430_hmiigr_512.jpg,176,151,130.60245020672468,0.7071067811865476,239.87591552734375,-29.759831875813568
57.0,20240223_0600_hmiigr_512.jpg,181,150,128.4562182223967,0.7071067811865476,239.85826110839844,-29.764927664481554
58.5,20240223_0730_hmiigr_512.jpg,183,151,126.49110640673517,0.7071067811865476,239.85447692871094,-29.771702446218846
61.5,20240223_1030_hmiigr_512.jpg,187,151,124.25779653607253,0.7071067811865476,239.8726043701172,-29.78833009720353
63.0,20240223_1200_hmiigr_512.jpg,195,150,120.93386622447825,0.7071067811865476,239.88967895507812,-29.79758782727388
66.0,20240223_1500_hmiigr_512.jpg,197,151,119.07980517283357,0.7071067811865476,239.92503356933594,-29.8161397189712
69.0,20240223_1800_hmiigr_512.jpg,205,151,115.39497389401325,0.7071067811865476,239.94947814941406,-29.83319377527839
70.5,20240223_1930_hmiigr_512.jpg,207,149,116.36150566231085,0.7071067811865476,239.96083068847656,-29.841557572509682
73.5,20240223_2230_hmiigr_512.jpg,214,150,112.72089424769483,0.7071067811865476,239.92074584960938,-29.850362682662382
75.0,20240224_0000_hmiigr_512.jpg,220,150,110.67971810589327,0.7071067811865476,239.89068603515625,-29.853460760572215
76.5,20240224_0130_hmiigr_512.jpg,220,149,111.6288493177279,0.7071067811865476,239.86708068847656,-29.85732728619268
79.5,20240224_0430_hmiigr_512.jpg,227,149,109.63576058932597,0.7071067811865476,239.8235321044922,-29.865396005975327
81.0,20240224_0600_hmiigr_512.jpg,229,150,108.17116066678771,0.7071067811865476,239.8150177001953,-29.87102198746405
87.0,20240224_1200_hmiigr_512.jpg,241,150,105.92922165295089,0.7071067811865476,239.8662109375,-29.903791937673414
88.5,20240224_1330_hmiigr_512.jpg,244,149,106.56922632730333,0.7071067811865476,239.8524627685547,-29.9085824300618
