Hours,Filename,x,y,d,d_err,R_sun,B_0
0.0,20240120_0130_hmiigr_512.jpg,158,173,127.01574705523721,0.7071067811865476,241.2176513671875,-20.798212484615146
1.5,20240120_0300_hmiigr_512.jpg,161,173,124.73972903610141,0.7071067811865476,241.18592834472656,-20.820451309361715
3.0,20240120_0430_hmiigr_512.jpg,164,172,123.1665539016173,0.7071067811865476,241.18592834472656,-20.845399961875287
4.5,20240120_0600_hmiigr_512.jpg,167,172,120.96693763173474,0.7071067811865476,241.14483642578125,-20.86676745770947
10.5,20240120_1200_hmiigr_512.jpg,180,172,111.8659912573969,0.7071067811865476,241.18429565429688,-20.969628862661853
12.0,20240120_1330_hmiigr_512.jpg,183,172,109.87720418721983,0.7071067811865476,241.20108032226562,-20.995886090780605
13.5,20240120_1500_hmiigr_512.jpg,186,172,107.93516572461452,0.7071067811865476,241.23199462890625,-21.023352779465743
15.0,20240120_1630_hmiigr_512.jpg,190,172,105.4229576515476,0.7071067811865476,241.25497436523438,-21.05011230938514
18.0,20240120_1930_hmiigr_512.jpg,196,172,101.83319694480774,0.7071067811865476,241.25485229492188,-21.099530766656834
19.5,20240120_2100_hmiigr_512.jpg,200,171,100.40418317978589,0.7071067811865476,241.25485229492188,-21.124207235531117
22.5,20240121_0000_hmiigr_512.jpg,206,171,97.24710792614863,0.7071067811865476,241.2372283935547,-21.171941455472687
25.5,20240121_0300_hmiigr_512.jpg,213,171,93.91485505499116,0.7071067811865476,241.16531372070312,-21.214786900484317
27.0,20240121_0430_hmiigr_512.jpg,216,171,92.61209424259879,0.7071067811865476,241.14483642578125,-21.23752388762017
28.5,20240121_0600_hmiigr_512.jpg,219,171,91.3892772703669,0.7071067811865476,241.10671997070312,-21.25867606711981
33.0,20240121_1030_hmiigr_512.jpg,229,171,87.93179174792243,0.7071067811865476,241.1040802001953,-21.33180914056116
36.0,20240121_1330_hmiigr_512.jpg,236,171,86.12200647918046,0.7071067811865476,241.18479919433594,-21.387752225699515
37.5,20240121_1500_hmiigr_512.jpg,239,171,85.5102333057278,0.7071067811865476,241.20016479492188,-21.413476918429048
40.5,20240121_1800_hmiigr_512.jpg,246,171,84.48076704197234,0.7071067811865476,241.2372283935547,-21.465422930825696
42.0,20240121_1930_hmiigr_512.jpg,249,171,84.2140130857092,0.7071067811865476,241.25497436523438,-21.491293465422075
43.5,20240121_2100_hmiigr_512.jpg,253,171,84.02380615040002,0.7071067811865476,241.25347900390625,-21.51542201751501
45.0,20240121_2230_hmiigr_512.jpg,256,171,84.00595217006948,0.7071067811865476,241.23004150390625,-21.53757003603713
46.5,20240122_0000_hmiigr_512.jpg,260,171,84.1486779456457,0.7071067811865476,241.19142150878906,-21.558326722976524
48.0,20240122_0130_hmiigr_512.jpg,263,171,84.38009243891595,0.7071067811865476,241.17823791503906,-21.581326410289893
51.0,20240122_0430_hmiigr_512.jpg,270,171,85.32877591996736,0.7071067811865476,241.10678100585938,-21.623193767972683
57.0,20240122_1030_hmiigr_512.jpg,283,171,88.54377448471462,0.7071067811865476,241.10549926757812,-21.719292798580483
60.0,20240122_1330_hmiigr_512.jpg,290,171,91.0,0.7071067811865476,241.18429565429688,-21.774350946562397
63.0,20240122_1630_hmiigr_512.jpg,296,171,93.47192091746055,0.7071067811865476,241.20016479492188,-21.823645299081495
66.0,20240122_1930_hmiigr_512.jpg,303,171,96.74709297958259,0.7071067811865476,241.26356506347656,-21.877150264881323
67.5,20240122_2100_hmiigr_512.jpg,306,171,98.2700361249552,0.7071067811865476,241.2007598876953,-21.89528896796908
70.5,20240123_0000_hmiigr_512.jpg,313,171,102.07840124139877,0.7071067811865476,241.20016479492188,-21.942830339373856
72.0,20240123_0130_hmiigr_512.jpg,316,171,103.81233067415451,0.7071067811865476,241.1549835205078,-21.962473135709754
