Hours,Filename,x,y,d,d_err,R_sun,B_0
0.0,20240520_0300_hmiigr_512.jpg,161,308,107.91200118615167,0.7071067811865476,234.5355224609375,-8.209332643294323
1.5,20240520_0430_hmiigr_512.jpg,164,308,105.30906893520614,0.7071067811865476,234.504638671875,-8.178297786307256
3.0,20240520_0600_hmiigr_512.jpg,167,308,102.7277956543408,0.7071067811865476,234.51788330078125,-8.148795836421499
4.5,20240520_0730_hmiigr_512.jpg,170,308,100.16985574512923,0.7071067811865476,234.46856689453125,-8.117120463321099
6.0,20240520_0900_hmiigr_512.jpg,173,308,97.63708311906906,0.7071067811865476,234.46856689453125,-8.087150375674902
7.5,20240520_1030_hmiigr_512.jpg,176,308,95.13148795220224,0.7071067811865476,234.48004150390625,-8.057566284373356
9.0,20240520_1200_hmiigr_512.jpg,179,307,92.0869154657707,0.7071067811865476,234.52151489257812,-8.02899797437268
10.5,20240520_1330_hmiigr_512.jpg,182,308,90.21086409075129,0.7071067811865476,234.5225067138672,-7.999034098085089
12.0,20240520_1500_hmiigr_512.jpg,185,307,87.20091742636656,0.7071067811865476,234.54148864746094,-7.969672955780547
15.0,20240520_1800_hmiigr_512.jpg,192,307,81.68843247363729,0.7071067811865476,234.5454559326172,-7.9097646626605815
16.5,20240520_1930_hmiigr_512.jpg,195,307,79.39773296511683,0.7071067811865476,234.55508422851562,-7.880058204902183
18.0,20240520_2100_hmiigr_512.jpg,198,307,77.15568676384133,0.7071067811865476,234.55703735351562,-7.850084098737524
19.5,20240520_2230_hmiigr_512.jpg,201,307,74.96665925596525,0.7071067811865476,234.54148864746094,-7.81952176762382
21.0,20240521_0000_hmiigr_512.jpg,205,307,72.13875518748573,0.7071067811865476,234.53378295898438,-7.789215587579138
22.5,20240521_0130_hmiigr_512.jpg,208,307,70.09279563550022,0.7071067811865476,234.52151489257812,-7.758752133423458
24.0,20240521_0300_hmiigr_512.jpg,211,307,68.11754546370561,0.7071067811865476,234.4929656982422,-7.727751058460007
25.5,20240521_0430_hmiigr_512.jpg,214,307,66.21933252457322,0.7071067811865476,234.472900390625,-7.697027495191092
